381 B 165.90000 -1072.90000  10.20000  5.000 
382 C 177.40000 -1088.60000   6.00000  3.000 
383 C 189.30000 -1100.40000   3.40000  3.000 
384 C 199.00000 -1107.10000   3.40000  3.000 
385 C 201.20000 -1111.50000   3.40000  3.000 
386 C 219.60000 -1123.70000  -0.90000  3.000 
387 B 223.60000 -1123.30000  -0.90000  4.000 
388 C 228.30000 -1128.70000  -1.00000  3.000 
389 C 231.70000 -1124.30000  -1.00000  3.000 
390 C 235.10000 -1127.80000  -6.70000  3.000 
391 C 236.20000 -1131.60000  -6.70000  3.000 
392 C 241.10000 -1128.80000 -11.30000  3.000 
393 C 244.80000 -1127.50000 -11.30000  3.000 
394 C 246.00000 -1129.10000 -11.30000  4.000 
395 C 250.60000 -1124.50000 -11.30000  3.000 
396 T 250.60000 -1123.00000 -11.30000  3.000 
397 C 223.60000 -1118.10000  -1.60000  3.000 
398 C 228.30000 -1116.10000  -1.60000  3.000 
399 C 231.30000 -1116.30000  -8.60000  3.000 
400 C 231.30000 -1118.60000 -10.70000  3.000 
401 C 242.90000 -1118.60000 -14.00000  3.000 
402 C 241.60000 -1115.70000 -14.00000  3.000 
403 C 250.90000 -1111.70000 -15.20000  3.000 
404 T 251.50000 -1112.50000 -18.60000  3.000 
405 C 170.40000 -1080.60000   3.70000  3.000 
406 C 172.30000 -1082.60000   1.00000  3.000 
407 C 172.30000 -1088.10000  -1.70000  3.000 
408 C 175.90000 -1090.40000  -1.70000  3.000 
409 C 175.90000 -1092.70000  -4.50000  3.000 
410 C 177.90000 -1095.20000  -6.50000  3.000 
411 C 180.30000 -1102.50000  -8.50000  3.000 
412 C 177.80000 -1109.40000 -17.30000  3.000 
413 C 185.30000 -1113.10000 -17.90000  3.000 
414 C 186.50000 -1123.00000 -24.70000  3.000 
415 C 187.10000 -1132.80000 -27.40000  3.000 
416 B 192.20000 -1140.70000 -30.30000  3.000 
417 C 192.20000 -1142.70000 -30.30000  3.000 
418 T 195.40000 -1149.30000 -30.30000  3.000 
419 T 196.80000 -1143.00000 -30.30000  3.000 
420 C 117.20000 -610.50000  18.40000 18.000 
421 C 119.10000 -623.50000  14.40000 17.000 
422 C 123.70000 -637.90000  14.40000 16.000 
423 C 126.00000 -652.20000  14.40000 17.000 
424 C 130.60000 -669.10000  14.40000 17.000 
425 C 133.30000 -685.50000  14.40000 16.000 
426 C 138.80000 -709.70000  14.40000 15.000 
427 C 142.90000 -723.30000  14.20000 15.000 
428 C 145.50000 -738.10000  18.20000 15.000 
429 B 155.20000 -765.00000  14.40000 15.000 
430 C 159.40000 -780.10000  14.40000 10.000 
431 B 164.00000 -794.70000  12.30000 13.000 
432 C 161.60000 -800.10000  15.40000  7.000 
433 C 161.60000 -814.00000  15.40000  7.000 
434 C 161.60000 -830.30000  15.40000  7.000 
